Amount,HLA,Type
2625,HLA-A02:01,cin
2625,HLA-A24:02,cin
26370,HLA-A11:01,cin
26370,HLA-A03:01,cin
26370,HLA-A01:01,cin
26370,HLA-A23:01,cin
26370,HLA-A33:03,cin
26370,HLA-A30:01,cin
13029,HLA-A26:01,cin
13029,HLA-A02:07,cin
17582,HLA-A30:02,cin
17582,HLA-A68:02,cin
9997,HLA-A68:01,cin
11989,HLA-A31:01,cin
11989,HLA-A29:02,cin
11989,HLA-A02:03,cin
3544,HLA-A74:01,cin
2428,HLA-A32:01,cin
2428,HLA-A02:06,cin
2428,HLA-A02:02,cin
15429,HLA-A25:01,cin
15429,HLA-A34:02,cin
25592,HLA-A02:05,cin
25592,HLA-A33:01,cin
25592,HLA-A66:01,cin
15087,HLA-A36:01,cin
15525,HLA-A11:02,cin
8392,HLA-A24:07,cin
8392,HLA-A29:01,cin
26370,HLA-A66:02,cin
26370,HLA-A80:01,cin
26370,HLA-A30:04,cin
2952,HLA-A01:02,cin
2952,HLA-A34:01,cin
24922,HLA-A26:02,cin
24922,HLA-A26:03,cin
115894,HLA-A24:03,cin
4317,HLA-A03:02,cin
4982,HLA-B07:02,cin
4982,HLA-B15:01,cin
4982,HLA-B40:01,cin
12081,HLA-B35:01,cin
4982,HLA-B08:01,cin
4982,HLA-B53:01,cin
5466,HLA-B51:01,cin
5466,HLA-B44:03,cin
5466,HLA-B18:01,cin
25072,HLA-B58:01,cin
25072,HLA-B40:02,cin
25072,HLA-B44:02,cin
25072,HLA-B46:01,cin
25072,HLA-B15:03,cin
25072,HLA-B13:02,cin
25072,HLA-B15:02,cin
25072,HLA-B45:01,cin
25072,HLA-B42:01,cin
25072,HLA-B52:01,cin
25072,HLA-B27:05,cin
25072,HLA-B58:02,cin
25072,HLA-B49:01,cin
25072,HLA-B13:01,cin
6227,HLA-B57:01,cin
6227,HLA-B14:02,cin
5749,HLA-B39:01,cin
5749,HLA-B57:03,cin
5749,HLA-B35:03,cin
5749,HLA-B38:01,cin
11432,HLA-B15:10,cin
11432,HLA-B54:01,cin
11432,HLA-B37:01,cin
11432,HLA-B56:01,cin
11432,HLA-B15:18,cin
16788,HLA-B38:02,cin
1696,HLA-B48:01,cin
1696,HLA-B55:02,cin
9170,HLA-B81:01,cin
9170,HLA-B50:01,cin
9170,HLA-B55:01,cin
7336,HLA-B41:02,cin
7336,HLA-B07:05,cin
7336,HLA-B40:06,cin
7336,HLA-B14:01,cin
4982,HLA-B15:25,cin
4982,HLA-B27:02,cin
12657,HLA-B15:11,cin
12657,HLA-B15:16,cin
4674,HLA-B35:02,cin
4674,HLA-B27:04,cin
4674,HLA-B41:01,cin
4674,HLA-B78:01,cin
6844,HLA-B15:17,cin
1321,HLA-B44:05,cin
4982,HLA-B15:32,cin
4982,HLA-B35:05,cin
3731,HLA-B42:02,cin
3731,HLA-B57:02,cin
4982,HLA-B35:08,cin
4982,HLA-B39:06,cin
1643,HLA-B47:01,cin
1643,HLA-B15:07,cin
1643,HLA-B39:10,cin
1643,HLA-B51:02,cin
152485,HLA-B15:27,cin
4258,HLA-B27:03,cin
7378,HLA-B67:01,cin
6323,HLA-B18:03,cin
6323,HLA-B14:03,cin
4982,HLA-B44:10,cin
4469,HLA-B59:01,cin
4469,HLA-B07:04,cin
4469,HLA-B51:07,cin
4469,HLA-B15:05,cin
11259,HLA-B15:08,cin
11259,HLA-B40:12,cin
4982,HLA-B47:03,cin
4982,HLA-B48:03,cin
4982,HLA-B57:04,cin
258941,HLA-B82:01,cin
4982,HLA-B51:08,cin
1535,HLA-C07:02,cin
1535,HLA-C04:01,cin
1535,HLA-C07:01,cin
60621,HLA-C06:02,cin
60621,HLA-C03:04,cin
60621,HLA-C01:02,cin
1535,HLA-C02:02,cin
1535,HLA-C03:03,cin
44872,HLA-C16:01,cin
24542,HLA-C12:03,cin
16428,HLA-C08:01,cin
16428,HLA-C05:01,cin
16428,HLA-C17:01,cin
112649,HLA-C03:02,cin
112649,HLA-C08:02,cin
112649,HLA-C12:02,cin
112649,HLA-C14:02,cin
210677,HLA-C15:02,cin
210677,HLA-C07:04,cin
103721,HLA-C18:01,cin
103721,HLA-C14:03,cin
22613,HLA-C04:03,cin
22613,HLA-C15:05,cin
1535,HLA-C08:04,cin
1535,HLA-C02:10,cin
1535,HLA-C08:03,cin
